                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2779,                 2.9506,                 1.9996,                 0.1325,                0.11977,                 0.0739,                0.02445,                 2.3967,                 8.4393,                 2.3401,             0.00055052,             0.00055052,             0.00055052
                      2,                 2.2327,                 2.5744,                 2.0404,                0.57461,                0.11977,                0.04901,                0.01607,                 2.4906,                 3.9084,                 2.3826,              0.0010624,              0.0010624,              0.0010624
                      3,                 2.2472,                 2.6033,                 2.0699,                 0.6665,                0.12219,                0.10452,                0.03463,                 2.3986,                 3.1101,                 2.2093,              0.0015302,              0.0015302,              0.0015302
                      4,                 2.2386,                 2.5627,                 2.0574,                 0.1708,                0.12286,                0.08279,                0.02741,                 2.3751,                 3.4615,                 2.1828,               0.001469,               0.001469,               0.001469
                      5,                  2.193,                 2.5276,                 2.0303,                0.19985,                0.14776,                0.09379,                0.03185,                 2.3557,                 2.8723,                 2.1963,               0.001469,               0.001469,               0.001469
                      6,                 2.1367,                  2.414,                 1.9806,                0.72412,                0.17042,                0.18119,                0.06111,                 2.3049,                 2.5954,                 2.0989,              0.0014029,              0.0014029,              0.0014029
                      7,                 2.1284,                 2.3893,                 1.9817,                0.74162,                0.18971,                0.18919,                  0.062,                 2.3005,                 2.5682,                 2.1895,              0.0013369,              0.0013369,              0.0013369
                      8,                 2.1153,                 2.3263,                 1.9446,                0.26428,                 0.2162,                0.20624,                0.07332,                 2.1881,                 2.3985,                 2.0167,              0.0012709,              0.0012709,              0.0012709
                      9,                 2.0804,                  2.278,                 1.9079,                0.30174,                0.21916,                0.21074,                0.07352,                  2.229,                 2.6298,                 2.0706,              0.0012049,              0.0012049,              0.0012049
                     10,                 2.0526,                 2.2305,                 1.8867,                0.23295,                0.15997,                0.17356,                0.06278,                 2.2093,                 2.4071,                 1.9687,              0.0011389,              0.0011389,              0.0011389
                     11,                 2.0232,                 2.1774,                 1.8795,                0.21998,                0.20785,                0.16358,                0.06201,                 2.1541,                 2.4045,                 1.9589,              0.0010729,              0.0010729,              0.0010729
                     12,                 1.9975,                 2.1116,                  1.848,                0.36817,                0.22671,                0.20814,                0.07695,                 2.1518,                 2.2605,                 2.0291,              0.0010069,              0.0010069,              0.0010069
                     13,                  1.985,                 2.1047,                 1.8479,                0.27968,                0.22125,                0.19506,                0.07106,                 2.1229,                 2.3853,                 2.0418,             0.00094085,             0.00094085,             0.00094085
                     14,                 1.9911,                 2.0709,                 1.8263,                 0.2667,                0.20981,                0.23309,                0.08368,                 2.1778,                 2.2887,                  1.963,             0.00087484,             0.00087484,             0.00087484
                     15,                  1.958,                 2.0332,                 1.8274,                0.35958,                0.25392,                0.24986,                0.09217,                  2.163,                 2.1575,                 1.9722,             0.00080883,             0.00080883,             0.00080883
                     16,                 2.0084,                 1.9874,                 1.8625,                0.34646,                0.23149,                0.26051,                 0.0964,                 2.1259,                 2.2034,                 1.9589,             0.00074282,             0.00074282,             0.00074282
                     17,                 1.9708,                 1.9261,                 1.8592,                 0.2953,                0.26824,                0.25406,                0.09364,                 2.1561,                 2.2435,                 2.0336,              0.0006768,              0.0006768,              0.0006768
                     18,                 1.9513,                 1.8949,                 1.8279,                0.28823,                0.29312,                0.26485,                0.09881,                 2.0942,                 2.1776,                  1.969,             0.00061079,             0.00061079,             0.00061079
                     19,                 1.9233,                 1.8268,                 1.8231,                0.30793,                0.32124,                0.26393,                0.09867,                 2.1606,                 2.1493,                 1.9952,             0.00054478,             0.00054478,             0.00054478
                     20,                 1.9082,                 1.7778,                  1.797,                0.33498,                0.32399,                0.29546,                0.10783,                 2.2053,                   2.09,                 2.0359,             0.00047876,             0.00047876,             0.00047876
                     21,                 1.8825,                 1.7378,                   1.78,                0.34302,                 0.3131,                0.28175,                0.10725,                 2.1554,                 2.1303,                 2.0062,             0.00041275,             0.00041275,             0.00041275
                     22,                  1.845,                 1.6787,                 1.7525,                0.36514,                0.33471,                0.29864,                0.11135,                 2.1541,                 2.0248,                 1.9957,             0.00034674,             0.00034674,             0.00034674
                     23,                 1.8411,                 1.6282,                 1.7524,                0.42168,                0.30996,                0.31148,                0.11581,                 2.1702,                 2.0492,                 2.0238,             0.00028072,             0.00028072,             0.00028072
                     24,                 1.8033,                 1.5481,                 1.7175,                0.34555,                0.32434,                0.28547,                0.11127,                 2.1738,                  2.053,                 2.0354,             0.00021471,             0.00021471,             0.00021471
                     25,                 1.7812,                 1.5264,                 1.7024,                  0.353,                0.33228,                0.29693,                0.11214,                 2.1583,                 2.0427,                 2.0264,              0.0001487,              0.0001487,              0.0001487
